"text","label"
"How do I recharge my energy beam?","Equipment Maintenance"
"How can I manage the collateral damage from my powers?","City Relations"
"Can you assist me with writing a speech for the mayor's ceremony?","Public Relations"
"Is there a special way to activate my stealth mode?","Equipment Maintenance"
"What are the current laws regarding secret identities?","Legal"
"There's a massive tornado headed for the city, what's our plan?","Emergency Response"
"I pulled a muscle while lifting a car, what should I do?","Medical"
"My superhero suit is damaged, can you help me fix it?","Equipment Maintenance"
"I need training for underwater missions, who can help me?","Training"
"What should I say to the press about my recent rescue operation?","Public Relations"
"How do I handle paperwork for the arrested supervillain?","Legal"
"I'm feeling overwhelmed with this superhero life, what should I do?","Mental Health"
"How do I track the invisible villain?","Intelligence"
"I've been exposed to a new kind of radiation, do you have any info about this?","Medical"
"My communication device is not working, how do I fix it?","Equipment Maintenance"
"How can I improve my relations with the local police department?","City Relations"
"My speed isn't improving, can you help me figure out a new training plan?","Training"
"What's our protocol for inter-dimensional threats?","Emergency Response"
"A civilian saw me without my mask, what should I do?","Legal"
"How do I maintain my gear to ensure it doesn't fail during missions?","Equipment Maintenance"
"A major bridge has collapsed, what's the response plan?","Emergency Response"
"My grappling hook is stuck, can you help me troubleshoot?","Equipment Maintenance"
"Can you help me prepare for my upcoming interview with a local news station?","Public Relations"
"I've been feeling under the weather, could this be a side effect of my powers?","Medical"
"How do we handle a villain with mind control powers?","Intelligence"
"I need help understanding the superhero code of conduct.","Training"
"I can't fly as high as before, can you help me figure out why?","Training"
"There's a city-wide blackout, what's our action plan?","Emergency Response"
"I'm getting a lot of hate on social media, how should I handle this?","Public Relations"
"My telepathic abilities are not working, can you help me?","Medical"
"My powers are gone! What do I do?","Medical"
"I accidentally revealed my identity on live TV, how should I proceed?","Legal"
"Where can I get a better protective gear?","Equipment Maintenance"
"My cape got stuck in a jet engine, can we redesign it?","Equipment Maintenance"
"I need to speak to the city council about their new regulations, any advice?","City Relations"
"The villain is using psychological warfare, how do we combat this?","Intelligence"
"I got a ticket for speeding (while running), do I need to pay this?","Legal"
"How can I protect my loved ones without revealing my identity to them?","Training"
"I can't control my fire powers and caused some damage, what should I do?","Medical"
"How do I navigate the superhero legal system?","Legal"
"My power supply is draining faster than normal, can you help?","Equipment Maintenance"
"Can we organize a charity event for the city's homeless?","Public Relations"
"I need to improve my hand-to-hand combat skills, where do I start?","Training"
"There's a meteor shower threatening the city, what's the plan?","Emergency Response"
"How do I deal with paparazzi constantly following me?","Public Relations"
"My super suit is chafing, can we adjust the fit?","Equipment Maintenance"
"I'm feeling extreme fatigue after using my powers, is this normal?","Medical"
"How do I stop a villain who can control weather?","Intelligence"
"How can I ensure my secret lair remains hidden?","Training"
"There's a bomb threat downtown, what should we do?","Emergency Response"
"I'm struggling with negative public opinion, how can I improve my image?","Public Relations"
"My X-ray vision isn't working properly, can you help?","Medical"
"I want to start a mentorship program for young superheroes, how can I do this?","Public Relations"
"How do I deal with a sidekick who's falling behind in training?","Training"
"There's a tsunami warning, what's our emergency response?","Emergency Response"
"Do superheroes get retirement benefits?","Legal"
"My teleportation ability is glitching, can you assist?","Medical"
"The villain has taken hostages, what's the protocol?","Emergency Response"
"How do I deal with fan mail?","Public Relations"
"What should I do if I lose my weapon in the middle of a battle?","Training"
"How do I rescue people from a burning building without getting hurt?","Training"
"My time-traveling abilities seem to be malfunctioning, can you assist?","Medical"
"What's the best way to deal with a villain who has telepathy?","Intelligence"
"Can we arrange a meeting with the mayor about increasing city security?","City Relations"
"I need help with managing the press and maintaining my secret identity.","Public Relations"
"How do we deal with villains from another planet?","Intelligence"
"Can you help me improve my public speaking skills for press conferences?","Public Relations"
"My invisibility isn't working, what should I do?","Medical"
"Can we have a plan for handling volcanic eruptions?","Emergency Response"
"I think I'm being followed, how can I be sure?","Intelligence"
"How can I train to improve my accuracy with energy blasts?","Training"
"I've lost my voice, how can I use my sonic scream?","Medical"
"There's an alien invasion, what's our action plan?","Emergency Response"
"My super strength is fading, can you help me figure out why?","Medical"
"How do I keep my civilian job and manage my superhero duties?","Training"
"Can we get better armor for my sidekick?","Equipment Maintenance"
"There's a viral outbreak in the city, what's the protocol?","Emergency Response"
"Can you help me understand the implications of time travel?","Intelligence"
"My underwater breathing apparatus isn't working, can you assist?","Equipment Maintenance"
"How can I deal with a villain who can manipulate time?","Intelligence"
"I'm not getting along with my team, can you provide some advice?","Training"
"My night vision seems to be getting weaker, can you help?","Medical"
"There's a train derailment, what's our response plan?","Emergency Response"
"I'd like to set up a workshop for up-and-coming superheroes, can you assist?","Public Relations"
"How can I maintain my physical condition to better use my powers?","Training"
"What do I do if a civilian gets hurt during one of my battles?","Medical"
"How do we handle a villain with reality-altering powers?","Intelligence"
"There's a hostage situation at the bank, what's our action plan?","Emergency Response"
"I feel like I'm losing touch with my civilian life, what should I do?","Mental Health"
"My force field generator is malfunctioning, can you help me troubleshoot?","Equipment Maintenance"